
trial	choice1	rts1	stim1ons_sl	stim1ons_ms	choice1ons_sl	choice1ons_ms	state	choice2	rts2	stim2ons_sl	stim2ons_ms	choice2ons_sl	choice2ons_ms	SC_ID	won
142	2	0.403125	568442.809300	568442.804100	568852.210900	568852.207400	2	2	0.595574	569853.095600	569853.090900	570452.095500	570452.071000	CCNP001684	0
143	2	0.101589	572955.495200	572955.490000	573067.340700	573067.337500	2	2	0.443890	574068.207500	574068.202900	574515.420700	574515.417300	CCNP001684	0
144	2	0.298697	577018.832500	577018.827600	577331.588100	577331.583300	3	1	0.378895	578332.482500	578332.477800	578715.186400	578715.182400	CCNP001684	1
145	2	0.210725	581218.603400	581218.598200	581443.328300	581443.324800	3	1	0.523159	582444.291800	582444.287100	582971.518100	582971.513900	CCNP001684	1
146	2	0.329437	585474.827400	585474.822500	585811.792700	585811.789400	3	1	0.339195	586812.683700	586812.679300	587155.425500	587155.422400	CCNP001684	1
147	2	0.193596	589658.828500	589658.823200	589859.244300	589859.241200	3	1	0.180183	590860.197000	590860.192200	591043.805700	591043.802400	CCNP001684	1
148	2	0.356259	593547.234200	593547.229200	593907.842500	593907.839200	2	1	0.195812	594908.743400	594908.738700	595107.881600	595107.878300	CCNP001684	0
149	2	0.179480	597611.452200	597611.447300	597795.586400	597795.582300	3	1	0.491855	598796.518600	598796.513900	599291.830700	599291.827200	CCNP001684	0
150	2	0.068440	601795.112100	601795.103100	601867.584800	601867.581600	3	1	0.483816	602868.541000	602868.536600	603355.685600	603355.682300	CCNP001684	0
151	2	0.217915	605859.026700	605859.021500	606083.573000	606083.569800	3	2	0.211834	607084.465600	607084.460800	607299.641300	607299.638100	CCNP001684	1
152	2	0.195356	609803.216500	609803.211400	610011.744800	610011.740600	3	2	0.323283	611012.692800	611012.687800	611339.405600	611339.402300	CCNP001684	0
153	1	0.331178	613843.249900	613843.244600	614179.920800	614179.917500	2	2	0.219789	615180.748500	615180.743800	615403.971800	615403.968500	CCNP001684	0
154	1	0.184191	617907.277600	617907.272500	618100.012800	618100.009600	2	1	0.251250	619100.924600	619100.919700	619355.594800	619355.591500	CCNP001684	0
155	2	0.058210	621859.046100	621859.041200	621923.747200	621923.743900	3	2	0.123769	622924.673400	622924.668800	623051.814100	623051.810700	CCNP001684	1
156	2	0.133680	625555.212800	625555.207700	625699.520600	625699.517500	3	2	0.195919	626700.437800	626700.433100	626899.603100	626899.599900	CCNP001684	0
157	2	0.155868	629403.006300	629403.001400	629571.419200	629571.416000	3	2	0.084324	630572.309100	630572.304300	630659.911300	630659.907900	CCNP001684	0
158	2	0.371470	633163.631200	633163.626000	633539.617900	633539.614700	3	1	0.141249	634540.601600	634540.597000	634685.141800	634685.138400	CCNP001684	0
159	1	0.340135	637188.596700	637188.591600	637539.380900	637539.377800	2	2	0.163251	638540.336600	638540.332200	638707.470100	638707.465800	CCNP001684	0
160	2	0.108207	641211.008700	641210.999700	641323.830000	641323.826800	3	1	0.051612	642324.718500	642324.714100	642379.714100	642379.710700	CCNP001684	0
161	2	0.136574	644883.296000	644883.290800	645035.659800	645035.656600	2	1	0.594923	646036.507500	646036.503000	646635.184700	646635.181300	CCNP001684	0
162	2	0.342681	649138.795600	649138.789400	649491.494300	649491.491200	2	2	0.188253	650492.443200	650492.438400	650684.013100	650684.009800	CCNP001684	1
163	2	0.212630	653187.405300	653187.400200	653411.573000	653411.569700	3	2	0.155288	654412.463800	654412.459200	654571.360200	654571.357100	CCNP001684	0
164	2	0.217170	657074.700400	657074.695600	657299.440800	657299.437400	2	2	0.427703	658300.402100	658300.397600	658731.543100	658731.538900	CCNP001684	1
165	1	0.098619	661235.481600	661235.476400	661347.816800	661347.813500	2	2	0.298583	662348.960300	662348.954900	662651.387700	662651.384500	CCNP001684	0
166	1	0.190187	665154.857600	665154.852500	665355.751400	665355.748300	2	2	0.266647	666356.675500	666356.670800	666627.323900	666627.319700	CCNP001684	1
167	1	0.204381	669130.765100	669130.760300	669339.573000	669339.569800	3	2	0.122703	670340.721800	670340.716500	670467.717300	670467.713200	CCNP001684	0
168	1	0.149830	672971.223900	672971.219100	673132.092400	673132.088900	2	2	0.690992	674133.256100	674133.251300	674827.380200	674827.376900	CCNP001684	0
169	1	0.380638	677330.839000	677330.834000	677715.627200	677715.623900	2	2	0.443648	678716.515300	678716.510800	679163.619700	679163.616400	CCNP001684	1
170	1	0.305407	681667.174200	681667.169200	681987.794400	681987.791100	2	2	0.307841	682988.665200	682988.660300	683299.863400	683299.860200	CCNP001684	1
171	1	0.187910	685803.296900	685803.291900	686003.462400	686003.459200	2	2	0.267823	687004.364300	687004.359900	687275.514900	687275.511600	CCNP001684	1
