
trial	choice1	rts1	stim1ons_sl	stim1ons_ms	choice1ons_sl	choice1ons_ms	state	choice2	rts2	stim2ons_sl	stim2ons_ms	choice2ons_sl	choice2ons_ms	SC_ID	won
135	2	0.285006	861799.542000	861799.536600	862088.340200	862088.336900	2	2	0.354620	863089.311700	863089.306900	863447.891700	863447.887800	CCNP001689	0
136	1	0.304876	865951.365800	865951.360700	866272.214900	866272.211700	2	1	0.346691	867273.088600	867273.084100	867623.806600	867623.803100	CCNP001689	0
137	2	0.378301	870127.320600	870127.315400	870512.331800	870512.328200	3	2	0.426440	871513.198200	871513.193700	871943.847100	871943.843600	CCNP001689	0
138	1	0.259797	874447.297800	874447.292400	874712.096000	874712.093000	2	1	0.515171	875713.005900	875713.001100	876231.925200	876231.922000	CCNP001689	0
139	1	0.401542	878736.149100	878736.144700	879152.081700	879152.078700	2	1	0.403707	880152.916000	880152.911300	880560.110200	880560.107100	CCNP001689	0
140	2	0.266718	883063.880200	883063.875000	883336.007800	883336.004600	2	2	0.363055	884336.916000	884336.911500	884704.289800	884704.285700	CCNP001689	0
141	1	0.375065	887207.911600	887207.904300	887592.163900	887592.160900	3	1	0.372256	888593.078500	888593.073700	888968.844500	888968.841000	CCNP001689	0
142	2	1.124592	891472.289700	891472.285300	892608.576300	892608.572700	3	1	0.258907	893609.414000	893609.407900	893871.970200	893871.966500	CCNP001689	0
143	2	0.328398	896375.752600	896375.745400	896712.425300	896712.420100	2	2	0.443500	897713.169200	897713.164500	898160.342300	898160.338700	CCNP001689	0
144	2	0.371318	900663.709200	900663.704100	901040.015200	901040.011800	3	2	0.419529	902040.978900	902040.972500	902464.085500	902464.082300	CCNP001689	1
145	1	0.440224	904967.929300	904967.924100	905424.112300	905424.109100	2	1	0.322808	906425.106900	906425.098600	906751.840000	906751.836300	CCNP001689	1
146	2	0.317029	909255.157700	909255.152700	909584.167100	909584.164100	2	2	0.339742	910585.077600	910585.073000	910928.320400	910928.317000	CCNP001689	1
